title,series,remakes,year,mpaa,runtime,language,director,firstCredit,secondCredit,imdbRating,rtRating,metaRating,action,adventure,animation,biography,comedy,crime,documentary,drama,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,western
The Incredibles,The Incredibles,NA,2004,PG,116,English,Brad Bird,Craig T. Nelson,Samuel L. Jackson,0.8,0.97,0.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad Max: Fury Road,Mad Max,NA,2015,R,120,English,George Miller,Tom Hardy,Charlize Theron,0.81,0.97,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
American Hustle,NA,NA,2013,R,138,English,David O. Russell,Christian Bale,Amy Adams,0.72,0.92,0.9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bernie,NA,NA,2011,PG-13,104,English,Richard Linklater,Jack Black,Shirley MacLaine,0.68,0.88,0.75,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheaper by the Dozen,Cheaper by the Dozen,NA,2003,PG,106,English,Shawn Levy,Steve Martin,Bonnie Hunt,0.59,0.24,0.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Sniper,NA,NA,2014,R,134,English,Clint Eastwood,Bradley Cooper,Sienna Miller,0.73,0.72,0.72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Usual Suspects,NA,NA,1995,R,108,English,Bryan Singer,Kevin Spacey,Gabriel Byrne,0.85,0.89,0.77,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Starsky & Hutch,NA,NA,2004,PG-13,101,English,Todd Phillips,Ben Stiller,Owen Wilson,0.61,0.62,0.55,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Knives Out,NA,NA,2019,PG-13,130,English,Rian Johnson,Daniel Craig,Chris Evans,0.79,0.97,0.82,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Rocketman,NA,NA,2019,R,122,English,Dexter Fletcher,Taron Egerton,Jamie Bell,0.73,0.89,0.69,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Palm Springs,NA,NA,2020,R,90,English,Max Barbakow,Andy Samberg,Cristin Milioti,0.74,0.94,0.83,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Reservoir Dogs,NA,NA,1992,R,100,English,Quentin Tarantino,Harvey Keitel,Tim Roth,0.83,0.92,0.79,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Psych: The Movie,Psych,NA,2017,PG,90,English,Steve Franks,James Roday Rodriguez,Dule Hill,0.75,1,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Psych 2: Lassie Come Home,Psych,NA,2020,PG,88,English,Steve Franks,James Roday Rodriguez,Dule Hill,0.75,0.83,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Bad Boys II,Bad Boys,NA,2003,R,147,English,Michael Bay,Will Smith,Martin Lawrence,0.66,0.23,0.38,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Boys For Life,Bad Boys,NA,2020,R,124,English,Adil El Arbi,Will Smith,Martin Lawrence,0.66,0.77,0.59,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Netflix vs. the World,NA,NA,2019,NA,104,English,Shawn Cauthen,Didier Allouch,John Antioco,0.68,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senna,NA,NA,2010,PG-13,162,English,Asif Kapadia,Ayrton Senna,Reginaldo Leme,0.85,0.93,0.79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Judy,NA,NA,2019,PG-13,118,English,Rupert Goold,Renee Zellweger,Jessie Buckley,0.68,0.82,0.66,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
A Beautiful Day In The Neighborhood,NA,NA,2019,PG,109,English,Marielle Heller,Tom Hanks,Matthew Rhys,0.73,0.95,0.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My Spy,NA,NA,2020,PG-13,102,English,Peter Segal,Dave Bautista,Chloe Coleman,0.63,0.47,0.46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilo & Stitch,Lilo & Stitch,NA,2002,PG,85,English,Dead DeBlois,Daveigh Chase,Chris Sanders,0.72,0.86,0.73,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropic Thunder,NA,NA,2008,R,121,English,Ben Stiller,Ben Stiller,Jack Black,0.7,0.82,0.71,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Farewell,NA,NA,2019,PG,100,Mandarin,Lulu Wang,Shuzhen Zhao,Awkwafina,0.76,0.98,0.89,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fist of Fury,NA,NA,1972,R,108,Cantonese,Lo Wei,Bruce Lee,Nora Miao,0.74,0.81,0.68,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Super Size Me,Super Size Me,NA,2004,PG-13,100,English,Morgan Spurlock,Morgan Spurlock,Daryl Isaacs,0.72,0.92,0.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anchorman: The Legend of Run Burgundy,Anchorman,NA,2004,PG-13,104,English,Adam McKay,Will Ferrell,Christina Applegate,0.72,0.67,0.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Country for Old Men,NA,NA,2007,R,123,English,The Coen Brothers,Tommy Lee Jones,Javier Bardem,0.81,0.93,0.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Mrs. Doubtfire,NA,NA,1993,PG-13,125,English,Chris Columbus,Robin Williams,Sally Field,0.7,0.71,0.53,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
